HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Num,Side,PassengerId
1,0,2,0.7109088766073347,0,-0.3441924023296388,-0.2852625723580405,-0.29617044960669947,-0.2729208706719472,-0.259969666988178,0,1,0,0,0001_01
0,0,2,-0.3316801253149512,0,-0.17587776139276154,-0.27958208373801596,-0.2538376545649249,0.21279963616238012,-0.22268460338698093,1,5,0,1,0002_01
1,0,2,2.0315216123755637,1,-0.2777930485655496,1.9717849059983792,-0.29617044960669947,5.668086785780709,-0.21844766434139035,0,0,0,1,0003_01
1,0,2,0.2938732758384203,0,-0.3441924023296388,0.5245226386965699,0.33204822881323487,2.6723679585657134,-0.09642381982838173,0,0,0,1,0003_02
0,0,2,-0.887727593006837,0,0.12369141605452463,-0.24108099420229404,-0.04048036755438117,0.2269554250682986,-0.2582748913699418,1,5,1,1,0004_01
0,0,1,1.0584385439147634,0,-0.3441924023296388,0.019590316916610166,-0.29617044960669947,-0.015462459945555123,-0.259969666988178,1,5,0,0,0005_01
0,0,2,-0.19266825839197974,0,-0.27933721958331914,0.686100981666157,-0.2910905142016865,-0.2729208706719472,-0.259969666988178,1,5,1006,1,0006_01
0,1,2,-0.05365639146900829,0,-0.3441924023296388,-0.2852625723580405,-0.29617044960669947,-0.2729208706719472,0.0,1,6,0,1,0006_02
0,0,2,0.4328851427613918,0,-0.3441924023296388,0.21020226838854494,-0.26738414897829277,-0.08181772044204792,-0.259969666988178,1,5,1117,1,0007_01
1,1,0,-1.0267394599298085,0,-0.3441924023296388,-0.2852625723580405,-0.29617044960669947,-0.2729208706719472,-0.259969666988178,1,1,1,0,0008_01
1,1,2,0.3633792092999061,0,-0.3441924023296388,-0.2852625723580405,0.0,-0.2729208706719472,-0.259969666988178,1,1,1,0,0008_02
1,0,0,1.127944477376249,0,-0.28396973263662767,4.319089036872967,0.7011902015775089,-0.17559982194375776,-0.1548935786575317,1,1,1,0,0008_03
2,0,2,0.22436734237693462,0,-0.2314679180324641,-0.2852625723580405,1.6054187036698133,-0.2729208706719472,-0.16421484455783097,1,5,1,0,0009_01
0,0,2,1.3364622777607063,0,0.7660665594466434,-0.28463140695581557,-0.1861051824980856,-0.2729208706719472,-0.23963235956934326,0,6,1,1,0010_01
